Transaction_ID,Products,City,Customer_Name,Date
1000000000,"['Jam', 'Oranges', 'Eggs', 'Rice', 'Tea']",Phoenix,Ivy,2024-12-09
1000000001,"['Bread', 'Cheese', 'Yogurt']",Chicago,Eve,2024-12-13
1000000002,"['Bananas', 'Water', 'Eggs', 'Soda']",New York,Bob,2024-12-15
1000000003,"['Cookies', 'Eggs', 'Juice', 'Rice']",Houston,Hank,2024-12-06
1000000004,"['Ice Cream', 'Butter']",New York,Alice,2024-12-23
1000000005,"['Yogurt', 'Oranges', 'Tea']",Houston,Grace,2024-12-04
1000000006,"['Cheese', 'Bananas', 'Yogurt']",Houston,Grace,2024-12-06
1000000007,"['Yogurt', 'Butter', 'Cereal', 'Cheese']",Los Angeles,Eve,2024-12-18
1000000008,"['Water', 'Soda', 'Tea']",New York,Bob,2024-12-27
1000000009,"['Apples', 'Cookies', 'Oranges', 'Tea']",Los Angeles,Grace,2024-12-02
1000000010,"['Juice', 'Yogurt']",New York,Eve,2024-12-16
1000000011,"['Bananas', 'Soda', 'Eggs', 'Butter']",Phoenix,Ivy,2024-12-09
1000000012,"['Jam', 'Coffee', 'Juice', 'Soda', 'Oranges']",Chicago,Hank,2024-12-05
1000000013,"['Butter', 'Milk', 'Tea', 'Cheese', 'Coffee']",Los Angeles,Bob,2024-12-19
1000000014,"['Chips', 'Butter', 'Water']",Chicago,Diana,2024-12-09
1000000015,"['Bread', 'Milk', 'Bananas', 'Rice', 'Jam']",Houston,Diana,2024-12-16
1000000016,"['Cheese', 'Chips']",Los Angeles,Eve,2024-12-05
1000000017,"['Bananas', 'Yogurt', 'Tea', 'Jam']",Houston,Ivy,2024-12-04
1000000018,"['Milk', 'Rice', 'Eggs', 'Pasta']",Los Angeles,Alice,2024-12-13
1000000019,"['Tea', 'Bananas', 'Water']",Houston,Diana,2024-12-19
1000000020,"['Rice', 'Milk', 'Ice Cream', 'Cereal']",Los Angeles,Frank,2024-12-24
1000000021,"['Ice Cream', 'Cereal', 'Soda', 'Honey', 'Chips']",Chicago,Charlie,2024-12-18
1000000022,"['Soda', 'Juice']",Chicago,Alice,2024-12-01
1000000023,"['Cereal', 'Ice Cream', 'Coffee']",New York,Charlie,2024-12-17
